ID,Name,StartDate,StartTime,EndDate,EndTime,Location,Image,Email,CalendarLink,Desc
1,Imagine Day Presentation,2026-09-09,10:30:00 AM,2026-09-09,2:30:00 PM,"Room 102, CHBE Building",default.png,,,Desc
2,Third year Field Trip,2026-09-09,,2026-09-11,,"Various locations: Vancouver, Trail, & Edmonton",default.png,,,Info
8,Board Game Night,2026-09-09,5:00:00 PM,2026-09-09,,"Room 318, CHBE Building",,,,
6,CHBE 2nd year crash course,2026-09-14,TBD,2026-09-14,TBD,TBD,default.png,,,Desc
5,Welcome Back CHBBQ ,2026-09-18,6:00:00 PM,2026-09-18,8:00:00 PM,"The  Atrium, CHBE Building",default.png,,,Desc
4,2nd Year Study Crawl,2026-09-24,TBD,2026-08-27,TBD,"Room TBD, CHBE Building",default.png,,,Info
7,3rd Year Study Crawl,2026-10-01,TBD,2026-08-27,TBD,"Room TBD, CHBE Building",default.png,,,Info
9,Suncor + Syncrude Event,2026-10-08,4:00:00 PM,2026-10-08,5:30:00 PM,"Room TBD, CHBE Building",,,,
3,Beef & Pizza,2026-10-30,11:00:00 AM,2026-10-30,2:00:00 PM,"Room 102, CHBE Building",default.png,,,Info
10,Industry Night,2026-11-16,6:00:00 PM,2026-11-16,8:00:00 PM,"The  Atrium, CHBE Building",,,,
11,White Lies Party,2026-11-27,TBD,2026-11-27,TBD,"Engineering Student Centre, UBC",,,,
